"Anno","Provincia","Euro","AL","BE","BG","BM","EL","GA","GG","IB","IG","ME","ND","Totale"
"2020","BIELLA","EURO 6","0","15.387","2.430","109","0","14.212","0","1.721","102","52","0","34.013"
"2020","BIELLA","NC","0","0","0","0","89","0","0","0","0","0","0","89"
"2020","BIELLA","ND","0","23","0","0","0","2","0","0","0","0","0","25"
"2020","Totale Provincia","","3","69.171","7.864","627","89","49.422","0","1.853","107","79","3","129.218"
"2020","VERBANO CUSIO OSSOLA","EURO 0","2","6.607","244","6","0","843","0","0","0","0","0","7.702"
"2020","VERBANO CUSIO OSSOLA","EURO 1","0","1.342","71","5","0","161","0","0","0","0","0","1.579"
"2020","VERBANO CUSIO OSSOLA","EURO 2","0","4.537","110","6","0","980","0","0","0","0","0","5.633"
"2020","VERBANO CUSIO OSSOLA","EURO 3","0","5.849","89","12","0","4.279","0","0","0","0","0","10.229"
"2020","VERBANO CUSIO OSSOLA","EURO 4","0","16.226","1.695","157","0","10.160","0","11","0","7","0","28.256"
"2020","VERBANO CUSIO OSSOLA","EURO 5","0","9.471","899","132","0","12.267","0","85","11","22","0","22.887"
"2020","VERBANO CUSIO OSSOLA","EURO 6","0","14.660","984","120","0","13.239","0","1.226","93","58","0","30.380"
"2020","VERBANO CUSIO OSSOLA","NC","0","0","0","0","80","0","0","0","0","0","0","80"
"2020","VERBANO CUSIO OSSOLA","ND","0","16","0","0","0","0","0","0","0","0","1","17"
"2020","Totale Provincia","","2","58.708","4.092","438","80","41.929","0","1.322","104","87","1","106.763"
"2020","AOSTA","EURO 0","1","5.894","112","5","0","455","0","0","0","0","1","6.468"
"2020","AOSTA","EURO 1","0","1.352","40","6","0","208","0","0","0","0","0","1.606"
"2020","AOSTA","EURO 2","0","4.657","109","3","0","1.317","0","0","0","0","0","6.086"
"2020","AOSTA","EURO 3","0","5.440","96","9","0","4.459","0","0","0","1","0","10.005"
"2020","AOSTA","EURO 4","0","14.891","1.405","104","0","9.208","0","15","0","3","0","25.626"
"2020","AOSTA","EURO 5","0","6.456","507","108","0","11.825","0","117","13","17","0","19.043"
"2020","AOSTA","EURO 6","0","48.002","774","99","0","100.581","0","3.003","100","63","0","152.622"
"2020","AOSTA","NC","0","0","0","0","254","0","0","0","0","0","0","254"
